Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","356","India","66010","Magnesium content of exports (mg/capita/day)","0113","Rice","2005","2005","mg","0.14","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66011","Phosphorus content of exports (mg/capita/day)","0113","Rice","2005","2005","mg","0.33","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66012","Potassium content of exports (mg/capita/day)","0113","Rice","2005","2005","mg","0.31","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66014","Zinc content of exports (mg/capita/day)","0113","Rice","2005","2005","mg","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66016","Vitamin A (RE) content of exports (mcg/capita/day)","0113","Rice","2005","2005","μg","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66017","Vitamin A (RAE) content of exports (mcg/capita/day)","0113","Rice","2005","2005","μg","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66020","Thiamin content of exports (mg/capita/day)","0113","Rice","2005","2005","mg","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66021","Riboflavin content of exports (mg/capita/day)","0113","Rice","2005","2005","mg","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66028","Vitamin C content of exports (mg/capita/day)","0113","Rice","2005","2005","mg","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","5610","Import quantity","0113","Rice","2006","2006","t","0","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","356","India","5622","Import value","0113","Rice","2006","2006","1000 USD","0","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","356","India","5910","Export quantity","0113","Rice","2006","2006","t","23010","A","Official figure",""
"TCL","Crops and livestock products","356","India","5922","Export value","0113","Rice","2006","2006","1000 USD","4260","A","Official figure",""
"TCL","Crops and livestock products","356","India","66002","Energy content of exports (kcal/capita/day)","0113","Rice","2006","2006","Kcal","0.14","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66003","Protein content of exports (g/capita/day)","0113","Rice","2006","2006","g","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66004","Fat content of exports (g/capita/day)","0113","Rice","2006","2006","g","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66005","Carbohydrate, available, content of exports (g/capita/day)","0113","Rice","2006","2006","g","0.03","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66006","Dietary fibre content of exports (g/capita/day)","0113","Rice","2006","2006","g","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66008","Calcium content of exports (mg/capita/day)","0113","Rice","2006","2006","mg","0.01","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66009","Iron content of exports (mg/capita/day)","0113","Rice","2006","2006","mg","0","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66010","Magnesium content of exports (mg/capita/day)","0113","Rice","2006","2006","mg","0.04","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66011","Phosphorus content of exports (mg/capita/day)","0113","Rice","2006","2006","mg","0.1","E","Estimated value",""
"TCL","Crops and livestock products","356","India","66012","Potassium content of exports (mg/capita/day)","0113","Rice","2006","2006","mg","0.09","E","Estimated value",""
